AthleteID,FirstName,LastName,DateOfBirth,Gender,Country
1,Hermann,auf der Heide,1/06/1911 0:00,Male,GER
2,Klaus,Aeffke,9/05/1940 0:00,Male,FRG
3,Ramon,Andersson,20/03/1963 0:00,Male,AUS
4,Elena,Azarova,5/06/1973 0:00,Female,RUS
5,Dele,Adeleye,25/12/1988 0:00,Male,NGR
6,Masao,Arai,6/06/1949 0:00,,JPN
7,Erik,Andersson,1896/3/17 0:00:00,,SWE
8,Dainius,Adomaitis,19/01/1974 0:00,Male,LTU
9,Yevgeniya,Artamonova,17/07/1975 0:00,Female,RUS
10,Nikolay,Alyokhin,26/10/1954 0:00,,URS
11,Edgar,Ablowich,29/04/1913 0:00,Male,USA
12,Jeff,Archibald,2/02/1952 0:00,Male,NZL
13,Alf Lied,Aanning,1896/2/10 0:00:00,,NOR
14,Michael,Aikman,,Male,AUS
15,Crissy,Ahmann-Leighton,20/05/1970 0:00,Female,USA
16,Gezahgne,Abera,23/04/1978 0:00,Male,ETH
17,Artur,Ayvazian,,,UKR
18,Stacy,Augmon,1/08/1968 0:00,Male,USA
19,Seimone,Augustus,30/04/1984 0:00,Female,USA
20,Rita,Achkina,1/02/1938 0:00,Female,URS
21,Kurt,Ainsworth,9/09/1978 0:00,,USA
22,Ove,Andersen,1899/8/2 0:00:00,Male,FIN
23,Armenak,Alachachyan,25/12/1930 0:00,Male,URS
24,Isaac,Asare,1/09/1974 0:00,,GHA
25,Charles,Aman,,Male,USA
26,Vugar,Alekperov,5/01/1981 0:00,,AZE
27,Herta,Anitas,18/08/1967 0:00,Female,ROM
28,Kazimierz,Adach,9/05/1957 0:00,,POL
29,Georges,Anthony,,Male,BEL
30,Simon,Archer,27/06/1973 0:00,,GBR
31,Evgueni,Aleinikov,29/05/1967 0:00,Male,RUS
32,Leah,Amico-O'Brien,9/09/1974 0:00,Female,USA
33,Vladislav,Akimenko,5/03/1953 0:00,,URS
34,Oluwafemi,Ajilore,18/01/1985 0:00,Male,NGR
35,Gail,Amundrud,6/04/1957 0:00,Female,CAN
36,Elvan,Abeylegesse,,Female,TUR
37,Harold,Abrahams,1899/12/15 0:00:00,Male,GBR
38,Thure,Ahlqvist,20/04/1907 0:00,,SWE
39,John,Astor,1886/5/20 0:00:00,Male,GBR
40,Sture,Andersson,18/11/1949 0:00,,SWE
41,Martin,Annen,12/02/1974 0:00,,SUI
42,Valerio,Arri,1892/6/22 0:00:00,Male,ITA
43,Yevgeniy,Anashkin,18/06/1976 0:00,Male,RUS
44,Janne,Ahonen,11/05/1977 0:00,,FIN
45,Antonio,Allochio,1888/9/20 0:00:00,,ITA
46,Matias,Almeyda,21/12/1973 0:00,Male,ARG
47,Vladimir,Alikin,10/05/1957 0:00,Male,URS
48,Irene,Abel,12/02/1953 0:00,Female,GDR
49,M?rtha,Adlerstr?hle,1868/6/16 0:00:00,Female,SWE
50,,Andrade,21/04/1957 0:00,,BRA
51,Fernand,Arnout,1899/12/8 0:00:00,,FRA
52,Max,Amann,19/01/1905 0:00,,GER
53,Ray,Allen,20/07/1975 0:00,Male,USA
54,Henri,Arthus,,,FRA
55,Gordon,Aitchison,14/06/1909 0:00,Male,CAN
56,Karl,Arnold,,,GER
57,Kurt,Angle,9/12/1968 0:00,,USA
58,Olena,Antonova,,Female,UKR
59,Jos¨¦,Andrade,20/11/1901 0:00,,URU
60,Mercedes,Alberdingk-Thijn,2/08/1962 0:00,Female,ESP
61,Yelena,Antonova,21/08/1952 0:00,Female,URS
62,Aleksandar,Atanackovic,29/04/1920 0:00,,YUG
63,Frank,Adisson,24/07/1969 0:00,Male,FRA
64,Thomas,Ahrens,27/05/1948 0:00,Male,FRG
65,Beth,Anders,13/11/1951 0:00,Female,USA
66,Debbie,Armstrong,6/12/1963 0:00,Female,USA
67,Gaston,Alibert,,,FRA
68,Hans-Georg,Aschenbach,25/10/1951 0:00,,GDR
69,Felicia,Afrasiloaia,16/01/1954 0:00,Female,ROM
70,,Albelda,1/09/1977 0:00,Male,ESP
71,Chira,Apostol,1/06/1960 0:00,Female,ROM
72,William,Allen,20/12/1947 0:00,,USA
73,Fernando,Arcega,3/09/1960 0:00,Male,ESP
74,George,Asanidze,30/08/1975 0:00,,GEO
75,A,Albert,,,FRA
76,Daphne,Arden,29/12/1941 0:00,Female,GBR
77,Vladimir,A?toff,1879/8/5 0:00:00,,FRA
78,Henrik,Agersborg,1872/7/5 0:00:00,,NOR
79,Max,Ammermann,,Male,GER
80,Charles,Armstrong,,Male,USA
81,Eduard,Arbos,7/05/1983 0:00,Male,ESP
82,Isaac,Azcuy,3/06/1953 0:00,Male,CUB
