EventID,EventName,Sport,Type
1,75kg Women,Weightlifting,Final
2,Mile,Cycling,Final
3,Mile,Cycling,Final
4,Ton Class - Race 1,Sailing,Final
5,Ton Class - Race 2,Sailing,Final
6,1 Ton Class,Sailing,Final
7,1 Mile,Cycling,Final
8,1 Mile Freestyle Men,Swimming,Final
9,1.1km Sprint Women,Nordic Skiing,Final
10,1.35km Sprint Men,Nordic Skiing,Final
11,1.5km Sprint Men,Nordic Skiing,Final
12,1.5km Sprint Women,Nordic Skiing,Final
13,1/3 Mile,Cycling,Final
14,10 Meter Class,Sailing,Final
15,"10 Meter Class, 1907 Rating",Sailing,Final
16,"10 Meter Class, 1919 Rating",Sailing,Final
17,10 Mile Walk Men,Track & Field,Final
18,10000m Men,Speed Skating,Final
19,10000m Men,Track & Field,Final
20,10000m Women,Track & Field,Final
21,1000m Freestyle Men,Swimming,Final
22,1000m Men,Speed Skating,Final
23,1000m Short Track Men,Speed Skating,Final
24,1000m Short Track Women,Speed Skating,Final
25,1000m Sprint  Men,Cycling,Final
26,1000m Sprint (Scratch) Men,Cycling,Final
27,1000m Time Trial Men,Cycling,Final
28,1000m Women,Speed Skating,Final
29,100kg,Weightlifting,Final
30,100km Track Race,Cycling,Final
31,100m Backstroke Men,Swimming,Final
32,100m Backstroke Women,Swimming,Final
33,100m Breaststroke Men,Swimming,Final
34,100m Breaststroke Women,Swimming,Final
35,100m Butterfly Men,Swimming,Final
36,100m Butterfly Women,Swimming,Final
37,100m Freestyle for Sailors,Swimming,Final
38,100m Freestyle Men,Swimming,Final
39,100m Freestyle Women,Swimming,Final
40,100m Hurdles Women,Track & Field,Final
41,100m Men,Track & Field,Final
42,100m Women,Track & Field,Final
43,100yds Backstroke Men,Swimming,Final
44,100yds Freestyle Men,Swimming,Final
45,10-20 Ton Class,Sailing,Final
46,10km Biathlon Men,Biathlon,Final
47,10km Cross-country Classical Men,Nordic Skiing,Final
48,10km Cross-country Classical Women,Nordic Skiing,Final
49,10km Cross-country Combined Pursuit Women,Nordic Skiing,Final
50,10km Cross-Country Combined Women,Nordic Skiing,Final
51,10km Cross-country Men,Nordic Skiing,Final
52,10km Cross-country Pursuit Women,Nordic Skiing,Final
53,10km Cross-Country Women,Nordic Skiing,Final
54,10km Marathon Men,Swimming,Final
55,10km Marathon Women,Swimming,Final
56,10km Pursuit Women,Biathlon,Final
57,10km Sprint Men,Biathlon,Final
58,10km Track Race,Cycling,Final
59,10km Walk Men,Track & Field,Final
60,10km Walk Women,Track & Field,Final
61,10m Air Pistol Men,Shooting,Final
62,10m Air Pistol Women,Shooting,Final
63,10m Air Rifle Men,Shooting,Final
64,10m Air Rifle Women,Shooting,Final
65,10m Running Game Target,Shooting,Final
66,110m Hurdles Men,Track & Field,Final
67,12' Centreboard Boat,Sailing,Final
68,12' Dinghy,Sailing,Final
69,12 Meter Class,Sailing,Final
70,"12 Meter Class, 1907 Rating",Sailing,Final
71,"12 Meter Class, 1919 Rating",Sailing,Final
72,1-2 Ton Class - Race 1,Sailing,Final
73,1-2 Ton Class - Race 2,Sailing,Final
74,12.5km Mass Start Women,Biathlon,Final
75,12.5km Pursuit Men,Biathlon,Final
76,1200m Freestyle Men,Swimming,Final
77,12-Hour Race,Cycling,Final
78,1500m Freestyle Men,Swimming,Final
79,1500m Men,Speed Skating,Final
80,1500m Men,Track & Field,Final
81,1500m Short Track Men,Speed Skating,Final
82,1500m Short Track Women,Speed Skating,Final
83,1500m Walk Men,Track & Field,Final
84,1500m Women,Speed Skating,Final
85,1500m Women,Track & Field,Final
86,15km Biathlon Women,Biathlon,Final
87,15km Cross-Country Classical Men,Nordic Skiing,Final
88,15km Cross-Country Classical Women,Nordic Skiing,Final
89,15km Cross-country Combined Men,Nordic Skiing,Final
90,15km Cross-country Freestyle Women,Nordic Skiing,Final
91,15km Cross-country Men,Nordic Skiing,Final
92,15km Cross-country Pursuit Men,Nordic Skiing,Final
93,15km Individual Women,Biathlon,Final
94,15km Mass Start Men,Biathlon,Final
95,1600m Medley Relay Men,Track & Field,Final
96,17-Man Naval Rowing Boats,Rowing,Final
97,18' Dinghy,Sailing,Final
98,18km Cross-country Men,Nordic Skiing,Final
99,2 Miles,Cycling,Final
100,20+ Ton Class,Sailing,Final
101,2000m Sprint (Scratch) Men,Cycling,Final
102,2000m Tandem,Cycling,Final
103,200m Backstroke Men,Swimming,Final
104,200m Backstroke Women,Swimming,Final
105,200m Breaststroke Men,Swimming,Final
106,200m Breaststroke Women,Swimming,Final
107,200m Butterfly Men,Swimming,Final
108,200m Butterfly Women,Swimming,Final
109,200m Freestyle Men,Swimming,Final
110,200m Freestyle Women,Swimming,Final
111,200m Hurdles Men,Track & Field,Final
112,200m Individual Medley Men,Swimming,Final
113,200m Individual Medley Women,Swimming,Final
114,200m Men,Track & Field,Final
115,200m Team Swimming- Men,Swimming,Final
116,200m Women,Track & Field,Final
117,20km Biathlon Men,Biathlon,Final
118,20km Cross-Country  Women,Nordic Skiing,Final
119,20km Cross-country Combined Pursuit Men,Nordic Skiing,Final
120,20km Individual Men,Biathlon,Final
121,20km Track Race,Cycling,Final
122,20km Walk Men,Track & Field,Final
123,20km Walk Women,Track & Field,Final
124,220yds Freestyle Men,Swimming,Final
125,2-3 Ton Class - Race 1,Sailing,Final
126,2-3 Ton Class - Race 2,Sailing,Final
127,25 Miles,Cycling,Final
128,2500m Steeplechase Men,Track & Field,Final
129,25km Track Race,Cycling,Final
130,25m Rapid-Fire Pistol,Shooting,Final
131,25m Sport Pistol Women,Shooting,Final
132,2-Man Bobsled,Bobsleigh,Final
133,2-man Teams with Cesta,Pelota Basque,Final
134,2-Seater Men,Lugeing,Final
135,2-Woman Bobsled,Bobsleigh,Final
136,2-Women Bobsled,Bobsleigh,Final
137,2x15km Cross-country Combined Pursuit Men,Nordic Skiing,Final
138,2x7.5km Cross-country Combined Pursuit Women,Nordic Skiing,Final
139,3000m Individual Pursuit Women,Cycling,Final
140,3000m Short Track Relay Women,Speed Skating,Final
141,3000m Steeplechase Men,Track & Field,Final
142,3000m Steeplechase Women,Track & Field,Final
143,3000m Team Race,Track & Field,Final
144,3000m Walk Men,Track & Field,Final
145,3000m Women,Speed Skating,Final
146,3000m Women,Track & Field,Final
147,300m Freestyle Women,Swimming,Final
148,30km Cross-Country Classic Women,Nordic Skiing,Final
149,30km Cross-country Classical Men,Nordic Skiing,Final
150,30km Cross-country Freestyle Men,Nordic Skiing,Final
151,30km Cross-country Freestyle Women,Nordic Skiing,Final
152,30km Cross-country Men,Nordic Skiing,Final
153,30km Cross-country Men (Classical),Nordic Skiing,Final
154,30km Cross-country Men (Freestyle),Nordic Skiing,Final
155,30m Class,Sailing,Final
156,3-10 Ton Class,Sailing,Final
157,3200m Steeplechase Men,Track & Field,Final
158,3500m Walk Men,Track & Field,Final
159,3-Mile Team Race,Track & Field,Final
160,3x5km Cross Country Relay Women,Nordic Skiing,Final
161,3x7km Biathlon Relay Women,Biathlon,Final
162,4000m Freestyle Men,Swimming,Final
163,4000m Individual Pursuit Men,Cycling,Final
164,4000m Steeplechase Men,Track & Field,Final
165,4000m Team Pursuit Men,Cycling,Final
166,400m Breaststroke Men,Swimming,Final
167,400m Freestyle Men,Swimming,Final
168,400m Freestyle Women,Swimming,Final
169,400m Hurdles Men,Track & Field,Final
170,400m Hurdles Women,Track & Field,Final
171,400m Individual Medley Men,Swimming,Final
172,400m Individual Medley Women,Swimming,Final
173,400m Men,Track & Field,Final
174,400m Women,Track & Field,Final
175,40m Class,Sailing,Final
176,440yds Breaststroke Men,Swimming,Final
177,440yds Freestyle Men,Swimming,Final
178,470 Men,Sailing,Final
179,470 Women,Sailing,Final
180,48kg Women,Weightlifting,Final
181,49er,Sailing,Final
182,49kg Women,Taekwondo,Final
183,4-Mile Team Race,Track & Field,Final
184,4x100m Freestyle Relay Men,Swimming,Final
185,4x100m Freestyle Relay Women,Swimming,Final
186,4x100m Medley Relay Men,Swimming,Final
187,4x100m Medley Relay Women,Swimming,Final
188,4x100m Relay Men,Track & Field,Final
189,4x100m Relay Women,Track & Field,Final
190,4x10km Cross-country Relay Men,Nordic Skiing,Final
191,4x10km Relay Men,Nordic Skiing,Final
192,4x200m Freestyle Relay Men,Swimming,Final
193,4x200m Freestyle Relay Women,Swimming,Final
194,4x250m Freestyle Relay Men,Swimming,Final
195,4x400m Relay Men,Track & Field,Final
196,4x400m Relay Women,Track & Field,Final
197,4x50yds Freestyle Relay,Swimming,Final
198,4x5km Cross Country Relay Women,Nordic Skiing,Final
199,4x5km Cross-country Relay Women,Nordic Skiing,Final
200,4x6km Relay Women,Biathlon,Final
201,4x7.5km Relay Men,Biathlon,Final
202,4x7km Biathlon Relay Men,Biathlon,Final
