AthleteID,EventID,OlympicYear,OlympicSeason,Result,Medal
1,379,1936,summer,,SILVER
2,360,1964,summer,6:23.29,SILVER
3,578,1992,summer,2:56.97,BRONZE
4,808,2000,summer,99.146,GOLD
4,808,2004,summer,99.501,GOLD
5,778,2008,summer,,SILVER
6,427,1976,summer,,BRONZE
7,846,1920,summer,,BRONZE
8,290,2000,summer,,BRONZE
9,845,1992,summer,,SILVER
9,845,2000,summer,,SILVER
9,845,2004,summer,,SILVER
10,731,1980,summer,,GOLD
11,195,1932,summer,3:08.2,GOLD
11,876,2012,summer,,BRONZE
12,379,1976,summer,,GOLD
13,408,1920,summer,48.55,SILVER
14,360,1956,summer,6:39.2,BRONZE
15,36,1992,summer,58.74,SILVER
15,185,1992,summer,3:39.46,GOLD
15,187,1992,summer,4:02.54,GOLD
16,618,2000,summer,2:10:11,GOLD
17,230,2008,summer,702.7,GOLD
18,290,1988,summer,,BRONZE
19,291,2008,summer,,GOLD
20,160,1968,winter,58:13.6,BRONZE
21,289,2000,summer,,GOLD
22,141,1928,summer,9:35.6,BRONZE
23,290,1964,summer,,SILVER
24,777,1992,summer,,BRONZE
25,318,1904,summer,n/a,SILVER
26,641,2000,summer,,BRONZE
27,313,1988,summer,7:01.13,BRONZE
27,361,1988,summer,6:17.44,SILVER
28,594,1980,summer,,BRONZE
29,314,1928,summer,n/a,BRONZE
30,663,2000,summer,,BRONZE
31,269,2000,summer,693.8,BRONZE
32,780,1996,summer,,GOLD
32,780,2000,summer,,GOLD
32,780,2004,summer,,GOLD
33,824,1976,summer,30.4,SILVER
34,778,2008,summer,,SILVER
35,185,1976,summer,3:48.81,BRONZE
36,20,2008,summer,29:56.34,SILVER
36,212,2008,summer,15:42.74,SILVER
37,41,1924,summer,10.6,GOLD
37,188,1924,summer,41.2,SILVER
38,594,1932,summer,,SILVER
39,712,1908,summer,,GOLD
39,713,1908,summer,,BRONZE
40,539,1980,winter,,BRONZE
41,132,2002,winter,3:10.62,BRONZE
41,132,2006,winter,03:43.7,BRONZE
41,406,2006,winter,03:40.8,BRONZE
42,618,1920,summer,2:36:32,BRONZE
43,165,1996,summer,4:07.73,SILVER
44,758,2006,winter,976.6,SILVER
44,759,2002,winter,974.0,SILVER
45,366,1920,summer,,GOLD
46,778,1996,summer,,SILVER
47,46,1980,winter,32:53.10,SILVER
47,202,1980,winter,1:34:03.27,GOLD
48,811,1972,summer,376.55,SILVER
49,861,1908,summer,,BRONZE
50,777,1988,summer,,SILVER
51,595,1928,summer,302.5,BRONZE
52,846,1928,summer,,GOLD
53,290,2000,summer,,GOLD
54,243,1908,summer,,BRONZE
55,290,1936,summer,,SILVER
56,102,1906,summer,,BRONZE
57,437,1996,summer,,GOLD
